Name,Link,Nomor Kontak,Alamat,Kota / Kabupaten,Jenis Layanan / Barang
Budhi Oxygen Gas Refill,https://oxygen-budhi-gas.business.site/,0851-0130-1999,"Jl. Pramuka Jati No.50, RT.1/RW.8, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440","Jakarta
",Isi Ulang Tabung Oksigen
Isi oksigen manggarai,,0812-8610-4747,"Jl. Dr. Saharjo No.71, RT.9/RW.8, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960","Jakarta
",Isi Ulang Tabung Oksigen
Ikada Medikal Oksigen,https://oksigen24jaktim.business.site/,0813-1952-8448,"Jl. Raya Pd. Gede No.21C, RT.1/RW.1, Pinang Ranti, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13560","Jakarta
",Isi Ulang Tabung Oksigen
Maju Jaya Gas,https://majujayagas.business.site/,,"Jalan Pondok Ranggon Rt.003 Rw.04 No.29 Kelurahan Pondok Ranggon Kecamatan Cipayung RT.3/RW.4, RT.6/RW.2, Pondok Ranggon, Cipayung, East Jakarta City, Jakarta 13860","Jakarta
",Isi Ulang Tabung Oksigen
Darul oksigen,https://darul-oksigen.business.site/?utm_source=gmb&utm_medium=referral,0813-8186-4699,"Jl. Haji Saidi I, RT.11/RW.7, Cipete Utara, Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12410","Jakarta
",Isi Ulang Tabung Oksigen
Chandra Medika,https://jual-alkes.com/,0856-4959-5148,"Jl. Belibis Terusan No.53 A, RT.9/RW.3, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480","Jakarta
",Isi Ulang Tabung Oksigen
Arima Gas,,0811-1949-173,"Jl. Pramuka No.404, RT.10/RW.6, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440","Jakarta
",Isi Ulang Tabung Oksigen
TOKO TABUNG OKSIGEN & ISI ULANG OKSIGEN,,0877-7546-4667,"Jl. Gondang Sari, RT.15/RW.9, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790","Jakarta
",Isi Ulang Tabung Oksigen
Azzam Oksigen,https://isiulangoksigendijakarta-azzam-oksigen.business.site/?utm_source=gmb&utm_medium=referral,0821-2436-6699,"Jl. Industri Raya No.21, RT.13/RW.1, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720","Jakarta
",Isi Ulang Tabung Oksigen
Cahaya Gas Pancoran Tebet,,0813-1686-1318,"Jl. Tebet Dalam 1 No.3, RT.1/RW.1, Manggarai Sel., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Jakarta
",Isi Ulang Tabung Oksigen
Refill Oxygen Pulo Gadung,,0858-1160-7733,"Rumah Sakit Mediros, Jalan Perintis Kemerdekaan No.37 kurang lebih 30 meter setelah, RT.1/RW.1, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260","Jakarta
",Isi Ulang Tabung Oksigen
NG Refill Oksigen,,0812-8990-2162,"Jl. Raya Penggilingan No.16, RT.12/RW.11, Penggilingan, Cakung, East Jakarta City, Jakarta 13940","Jakarta
",Isi Ulang Tabung Oksigen
Hikmah Gas Medical Oksigen,,(021) 75910775,"Jl. Karang Tengah Raya No.49, RT.5/RW.3, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440","Jakarta
",Isi Ulang Tabung Oksigen
CHIKO JAYA,,0813-1000-5226,"10, Jl. Plumpang Semper No.7, RW.2, Rawabadak Sel., Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14230","Jakarta
",Isi Ulang Tabung Oksigen
Cempaka Gas Isi Ulang Oxsigen,,(021) 22391986,"Jalan Salemba Tengah No. 278A, Jakarta Pusat, RT. 4/ RW. 4, Paseban, Senen, RT.5/RW.8, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440","Jakarta
",Isi Ulang Tabung Oksigen
Karyaguna gas,https://karyagunagas.com/contact-us/,"021-5890 4683
0878 7500 6888",jL. Swadarma Raya No. 61 Ulujami – Pesanggrahan Jakarta Selatan 12250,"Jakarta
",Isi Ulang Tabung Oksigen
oxy 24,,0812-9318-2873,"Jl. Balap Sepeda III No.96, RT.5/RW.6, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220","Jakarta
",Isi Ulang Tabung Oksigen
ARC Putra,,(021) 8705015,"RT.7/RW.2, Ciracas, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13740","Jakarta
",Isi Ulang Tabung Oksigen
Medical Oxygen,,0812-1018-0121,"Jl. Paso No.70, RT.3/RW.6, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620","Jakarta
",Isi Ulang Tabung Oksigen
oxygen marema,,85711819768,"Jl. Persahabatan Utara No.26, RT.16/RW.13, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220","Jakarta
",Isi Ulang Tabung Oksigen
Citratama Medical Gas,https://citratama.co.id/,8211234488,"Jalan Kentang 5/31 Belakang Masjid Al Ikhlas
Kel. Cibodasari, Kec. Cibodas, Kota Tangerang","Tangerang
",Isi Ulang Tabung Oksigen
Apotek dan Alkes 58,https://www.tokopedia.com/alatkesehatan58/isi-ulang-tabung-oksigen,81286253558,Jl. Jendral sudirman ruko modernland blok AR no 32. Tangerang banten.,"Tangerang
",Isi Ulang Tabung Oksigen
Cahaya Gas Ciledug,,0813-1686-1318,"Ciledug, Jl. Raden Patah No.85, RT.002/RW.010, Parung Serab, Kec. Ciledug, Kota Tangerang Selatan, Banten 15153","Tangerang
",Isi Ulang Tabung Oksigen
Mandiri Medical Gas,,0821-1414-2938,"Jl. Cendrawasih Raya No.44, Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413","Tangerang
",Isi Ulang Tabung Oksigen
PT Federal Gas Industri,,"0856-9442-6468
085641780278","Jl. Cendrawasih Raya No.173, RT.1/RW.1, Sawah Lama, Kec. Ciputat, Kota Tangerang Selatan, Banten 15413","Tangerang
",Isi Ulang Tabung Oksigen
Pro Sehat Isi/Refill Oxygen & Health Equipment Supply,,0813-8281-9318,"Jl Kelapa Sawit XI BG 7 No 10, Jl. Sektor Raya No.1B, Pakulonan Bar., Kec. Klp. Dua, Tangerang, Banten 15811","Tangerang
",Isi Ulang Tabung Oksigen
"Gas oxygen , isi ulang+sewa",,0831-0710-8236,"Daan Mogot Rd, RT.005/RW.003, Batuceper, Tangerang City, Banten 15122","Tangerang
",Isi Ulang Tabung Oksigen
CV Bayuprana Agung,https://isi-oksigen.business.site/?utm_source=gmb&utm_medium=referral,0812-8292-4254,"Pondok Jaya, Kecamatan Pondok Aren, Kota Tangerang Selatan, Banten 15224","Tangerang
",Isi Ulang Tabung Oksigen
Toko Tabung Oksigen Las,,0813-8018-3143,"Jl. Raden Saleh No.35, RT.004/RW.005, Karang Tengah, Kec. Karang Tengah, Kota Tangerang","Tangerang
",Isi Ulang Tabung Oksigen
Kawan Kita Oksigen,,"WA: 081283392761
Telp: 021-7493792","Pertokoan Pamulang Permai Blok SH 10 no 1, Pamulang, Tangerang Selatan","Tangerang
",Isi Ulang Tabung Oksigen
DnD Gas,https://www.bukalapak.com/p/industrial/peralatan-medis-laboratori/3obzzfz-jual-isi-ulang-tabung-oksigen-medis-dan-co2-aquascape?from=list-product&pos=1,,Jalan Raya Perjuangan No.1 Depan Kantor Kelurahan Kebalen,"Bekasi
",Isi Ulang Tabung Oksigen
Isi ulang oxygen,,87879371787,"Jl. Raya Pekayon, Bekasi, Jawa Barat","Bekasi
",Isi Ulang Tabung Oksigen
amanah gas,,0878-8043-3640,"Jl. Sultan Agung km 28 bekasi kota No.11, RT.003/RW.004, Kali Baru, KEC. Medan satria, Kota Bks, Jawa Barat 17132","Bekasi
",Isi Ulang Tabung Oksigen
Fajar sejahtera,,0838-7717-5553,"Jn.ra Kartini no 64 rt01 RW 24, RT.003/RW.004, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17113","Bekasi
",Isi Ulang Tabung Oksigen
Elyon Jaya Gas,,0812-1075-0802,"Jl. Raya Karang Satria No.10-12, Karangsatria, Kec. Tambun Utara, Bekasi, Jawa Barat 17510","Bekasi
",Isi Ulang Tabung Oksigen
Mitra Nusantara Medika,,0857-8289-0417,"Ruko Sentra Aneka Niaga, RT.006/RW.007, Pejuang, Kecamatan Medan Satria, Kota Bks, Jawa Barat 17131","Bekasi
",Isi Ulang Tabung Oksigen
Restu Gas,,0821-1234-4555,"Jl. Cut Mutia No.26, RT.001/RW.009, Margahayu, Kec. Bekasi Tim., Kota Bks, Jawa Barat 17113","Bekasi
",Isi Ulang Tabung Oksigen
Karunia Gas,,0878-8047-5621,"Jl. Raya Setu No.64, Lubangbuaya, Kec. Setu, Bekasi, Jawa Barat 17320","Bekasi
",Isi Ulang Tabung Oksigen
NashMed Oksigen Indonesia,,0895-0531-6132,"Jl. Cinere Raya No.110, Cinere, Kec. Cinere, Kota Depok, Jawa Barat 16514","Depok / Bogor
",Isi Ulang Tabung Oksigen
Refil Oksigen,,(021) 92610987,"Jl. Tanah Baru, Pancoran MAS, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16426","Depok / Bogor
",Isi Ulang Tabung Oksigen
SAWANGAN 13 REFILL OXYGEN,,0838-1596-8688,"Jl. Raya Sawangan No.13, Mampang, Pancoran MAS, Kota Depok, Jawa Barat 16436","Depok / Bogor
",Isi Ulang Tabung Oksigen
"Depot Isi Ulang Oxygen, Acetiline, Argon, N2, CO2",,0895-3322-57666,"Sempu Indah, Jl. H. Tamin Gg. Mandor, RT.03/Rw01/RW.No.99, Cipayung, Kec. Cipayung, Kota Depok, Jawa Barat 16437","Depok / Bogor
",Isi Ulang Tabung Oksigen
