Provinsi;Kabupaten;Kode;Nama;Alamat;Kode_prov;Kode_kab
ACEH;ACEH BARAT;1107015S;RSU Montella;Jln. Beringin Jaya Dusun Cot Gampong;11;1107
ACEH;ACEH BARAT;1107014;RSU Cut Nyak Dhien;Jl. Gajah Mada Meulaboh;11;1107
ACEH;ACEH BARAT DAYA;1112011;RSU TEUNGKU PEUKAN;Blang Pidie,Aceh Barat Daya;11;1112
ACEH;ACEH BESAR;1108015;RSU Kota Jantho;Jl. Transmigrasi I Kota Jantho;11;1108
ACEH;ACEH BESAR;1108016S;RUMAH SAKIT AL ISLAMIC ACEH HOSPITAL;JL. Dr.Mr.Moch Hasan no. 88 desa Lampenerut;11;1116
ACEH;ACEH JAYA;1116011S;Rumah Sakit Umum Daerah Kabupaten Aceh Jaya;Jln. Ali Gunong, Lr. PMI No. 1, Calang, Kec. Krueng Sabee;11;1117
ACEH;ACEH SELATAN;1103010;RSU Dr. H.Yulidin Away;Jl. T.Ben Mahmud No.86 A, TAPAKTUAN;11;1103
ACEH;ACEH SINGKIL;1102016;RSUD Aceh Singkil;Jl. Rimo/Singkil Km.8;11;1102
ACEH;ACEH TAMIANG;1114011;RSUD Tamiang;Jl. Kesehatan,Kab.Aceh Tamiang;11;1114
ACEH;ACEH TENGAH;1106013;RSU Datu Beru Takengon;Jl. Rumah Sakit Takengon no. 153;11;1106
ACEH;ACEH TENGGARA;1104011;RSU Kutacane;Jl. Raya Kutacane - Blang Kejeran KM 3 Kutacane;11;1104
ACEH;ACEH TIMUR;1105078;RSU Graha Bunda;Jl. Medan - Banda Aceh Bukit Pala, Idi Rayeuk - Aceh Timur;11;1105
ACEH;ACEH TIMUR;1105034;RS Pertamina Rantau;Jl. Cepu Rantau Kab. Aceh Timur;11;1105
ACEH;ACEH TIMUR;1105056;RSUD Idi Rayeuk;Jl.Banda Aceh- Medan Km. 375 Idi Rayeuk Aceh timur;11;1105
ACEH;ACEH TIMUR;1105067;RS Rehabilitasi Medik;Jl. Monisa Peureulak Kabupaten Aceh Timur;11;1105
ACEH;BENER MERIAH;1117025;RSUD Bener Meriah;Jl. Sp.Teritit _ Sp.Tiga, Redelong, Sp.Empat Kute Kering, Redelong;11;1117
ACEH;BENER MERIAH;1117014;RS Bergerak Kab.Bener Meriah;Jl.Sp.tritit pondok Baru Balng Sentang redelong;11;1117
ACEH;BIREUEN;1110027;RS Malahayati;Jl. Medan - Banda Aceh No.100 M, Meunasah Blang - Bireuen;11;1110
ACEH;BIREUEN;1110075;RSU Dr. Fauziah Bireun;Jl. Mayjen T. Hamzah Bendahara No.13. Bireuen;11;1110
ACEH;BIREUEN;1110101;RSU Bireuen Medical Center;Bireuen, Aceh;11;1110
ACEH;BIREUEN;1110031;RS PTP IX Cot Girek;Lhok Sukon Kab. Aceh Utara;11;1110
ACEH;BIREUEN;1110102S;RS TELAGA BUNDA;Jl. Peutua Banta 7, Gampong Bireuen Meunasah Blang;11;1110
ACEH;BIREUEN;1110103S;RS AVICENNA;Jln. Kuala Raja No.1 Bireuen Lhok Awe. Kecamatan Juang;11;1110
ACEH;GAYO LUES;1113012;RSU Lapangan;Jl.Pangur-Sangir, Kec Dabun Gelang;11;1113
ACEH;KOTA BANDA ACEH;1171147S;RS PRINCE NAYEF BIN ABDUL AZIZ SYIAH KUALA UNIVERS;Jl. Lingkar Kampus;11;1171
ACEH;KOTA BANDA ACEH;1171026;Rumkit Tk III Banda Aceh;Jl. T. Hamzah Bendahara Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171085;RS Malahayati;Jl. Cut Nyak Dhien 4,Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171145S;RS Meutia;Jl. Cut Meutia No. 55;11;1171
ACEH;KOTA BANDA ACEH;1171106;RS Teuku Fakinah;Jl. Jend.Sudirman 27-29,Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171121;RS Ibu dan Anak Propinsi NAD;Jl. Prof.A.Madjid Ibrahim I,no. 3 Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171143;Rumkit Bhayangkara Banda Aceh;Jl. Cut Nyak Dhien Lamtemen No. 23,Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171146S;RS Cempaka Az Zahra Banda Aceh;Jln. Pocut Baren, 36-40;11;1171
ACEH;KOTA BANDA ACEH;1171144S;RS UBUDIYAH BANDA ACEH;Jln. T. Nyak Arief No.17-24 Jeulingke;11;1171
ACEH;KOTA BANDA ACEH;1171015;RSU Dr. Zainoel Abidin;Jl. Tgk Daud Beureueh, NO. 108 B. Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171041;RS Jiwa Banda Aceh;Jl. Dr.T.Syarief Thayeb,No.25 Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171096;RSIA Harapan Bunda;Jl. Teuku Umar 181,Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171110;RSU Meuraxa;Jl. Soekarno Hatta Km.2 Mibo Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171132;RS Permata Hati;Jl. Sultan Iskandar Muda No.217,Banda Aceh;11;1171
ACEH;KOTA BANDA ACEH;1171148S;RSU Bulan Sabit Merah Indonesia Aceh;Jl. Sultan Malikul Saleh No. 17 Lamlagang, Kec. Banda Raya;11;1171
